# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/00_rawdata/fastq_data/reference/NZ_CP076404.1.gtf" "-o" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/03_annotation/counts/raw_counts.txt" "-T" "8" "-p" "-B" "-t" "CDS" "-g" "gene_id" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam
KJY95_RS11955	NZ_CP076404.1	2450402	2450470	+	69	462	518	583
KJY95_RS11960	NZ_CP076404.1	2450541	2451776	-	1236	647	633	510
KJY95_RS11965	NZ_CP076404.1	2452152	2453846	+	1695	978	1216	868
KJY95_RS11970	NZ_CP076404.1	2453864	2454595	+	732	485	391	443
KJY95_RS11975	NZ_CP076404.1	2454611	2455465	+	855	337	343	353
KJY95_RS11980	NZ_CP076404.1	2455474	2457966	-	2493	649	577	531
KJY95_RS11985	NZ_CP076404.1	2457994	2459028	-	1035	149	162	156
KJY95_RS11990	NZ_CP076404.1	2459031	2460113	-	1083	92	122	101
KJY95_RS11995	NZ_CP076404.1	2460131	2461375	-	1245	142	132	135
KJY95_RS12000	NZ_CP076404.1	2461400	2461723	-	324	23	29	26
KJY95_RS12005	NZ_CP076404.1	2461945	2462907	-	963	487	765	650
KJY95_RS12010	NZ_CP076404.1	2463111	2464364	+	1254	497	550	469
KJY95_RS12015	NZ_CP076404.1	2464482	2464805	+	324	547	480	456
KJY95_RS12020	NZ_CP076404.1	2464952	2466187	-	1236	1443	1509	973
KJY95_RS12025	NZ_CP076404.1	2466523	2467722	+	1200	1085	2222	2546
KJY95_RS12030	NZ_CP076404.1	2467812	2468921	+	1110	139	227	305
KJY95_RS12035	NZ_CP076404.1	2469127	2471313	-	2187	2507	2984	2054
KJY95_RS12050	NZ_CP076404.1	2471933	2472289	+	357	651	783	790
KJY95_RS12055	NZ_CP076404.1	2472294	2472683	+	390	951	1130	1117
KJY95_RS12060	NZ_CP076404.1	2472741	2474153	-	1413	9949	10464	8765
KJY95_RS12090	NZ_CP076404.1	2475077	2475958	-	882	867	804	674
KJY95_RS12095	NZ_CP076404.1	2476002	2476157	-	156	37	39	21
KJY95_RS12100	NZ_CP076404.1	2476213	2477466	-	1254	359	403	287
KJY95_RS12105	NZ_CP076404.1	2477529	2478359	-	831	127	83	109
KJY95_RS12110	NZ_CP076404.1	2478608	2479369	+	762	485	531	412
KJY95_RS12115	NZ_CP076404.1	2479414	2480337	-	924	659	692	610
KJY95_RS12120	NZ_CP076404.1	2480427	2481422	+	996	712	849	644
KJY95_RS12125	NZ_CP076404.1	2481425	2481640	-	216	211	264	195
KJY95_RS12130	NZ_CP076404.1	2481645	2483657	-	2013	4573	4784	3588
KJY95_RS12135	NZ_CP076404.1	2483731	2484714	-	984	11997	11752	10546
KJY95_RS12140	NZ_CP076404.1	2484944	2485702	+	759	777	841	685
KJY95_RS12145	NZ_CP076404.1	2485890	2486858	+	969	11133	9405	6566
KJY95_RS12150	NZ_CP076404.1	2487245	2487499	+	255	3446	5532	6167
KJY95_RS12155	NZ_CP076404.1	2487547	2489271	+	1725	14736	22954	22510
KJY95_RS12160	NZ_CP076404.1	2489315	2489821	+	507	7078	10493	9596
KJY95_RS12165	NZ_CP076404.1	2489870	2490718	-	849	936	984	929
KJY95_RS12170	NZ_CP076404.1	2490823	2491194	+	372	174	217	165
KJY95_RS12175	NZ_CP076404.1	2491230	2491961	+	732	609	736	614
KJY95_RS12180	NZ_CP076404.1	2492156	2493064	-	909	1278	1270	1046
KJY95_RS12185	NZ_CP076404.1	2493201	2494295	-	1095	2253	1549	991
KJY95_RS12190	NZ_CP076404.1	2494288	2495160	-	873	1630	1112	601
KJY95_RS12195	NZ_CP076404.1	2495163	2495993	-	831	1190	753	448
KJY95_RS12200	NZ_CP076404.1	2495996	2497009	-	1014	1948	1104	733
KJY95_RS12205	NZ_CP076404.1	2497316	2498104	-	789	2792	3306	2591
KJY95_RS12210	NZ_CP076404.1	2498236	2499090	-	855	446	513	457
KJY95_RS12215	NZ_CP076404.1	2499254	2500147	+	894	402	589	452
KJY95_RS12220	NZ_CP076404.1	2500154	2501575	+	1422	664	699	549
KJY95_RS12225	NZ_CP076404.1	2501583	2502884	+	1302	774	901	593
KJY95_RS12230	NZ_CP076404.1	2503130	2504026	-	897	2836	3499	2570
KJY95_RS12235	NZ_CP076404.1	2504125	2504697	-	573	1428	1566	1190
KJY95_RS12240	NZ_CP076404.1	2504761	2505207	-	447	561	719	459
KJY95_RS12245	NZ_CP076404.1	2505197	2505619	-	423	624	811	498
KJY95_RS12250	NZ_CP076404.1	2505833	2506699	+	867	1520	1584	1410
KJY95_RS12255	NZ_CP076404.1	2506706	2507602	+	897	805	796	572
KJY95_RS12260	NZ_CP076404.1	2507614	2508663	-	1050	370	309	286
KJY95_RS12265	NZ_CP076404.1	2508712	2509209	-	498	129	131	99
KJY95_RS12270	NZ_CP076404.1	2509225	2509881	-	657	196	163	120
KJY95_RS12275	NZ_CP076404.1	2509894	2510778	-	885	238	186	170
KJY95_RS12280	NZ_CP076404.1	2510802	2512160	-	1359	10461	9925	7164
KJY95_RS12285	NZ_CP076404.1	2512175	2513575	-	1401	373	406	243
KJY95_RS12290	NZ_CP076404.1	2513575	2514798	-	1224	144	207	128
KJY95_RS12295	NZ_CP076404.1	2515018	2516202	-	1185	143	122	169
KJY95_RS12300	NZ_CP076404.1	2516195	2517028	-	834	58	62	76
KJY95_RS12305	NZ_CP076404.1	2517042	2518442	-	1401	116	126	90
KJY95_RS12310	NZ_CP076404.1	2518457	2518741	-	285	19	32	24
KJY95_RS12315	NZ_CP076404.1	2518851	2519141	-	291	45	38	50
KJY95_RS12320	NZ_CP076404.1	2519183	2520196	-	1014	88	114	131
KJY95_RS12325	NZ_CP076404.1	2520196	2520996	-	801	67	71	73
KJY95_RS12330	NZ_CP076404.1	2520996	2521694	-	699	53	65	61
KJY95_RS12335	NZ_CP076404.1	2521672	2522148	-	477	59	27	35
KJY95_RS12340	NZ_CP076404.1	2522164	2522496	-	333	15	25	15
KJY95_RS12345	NZ_CP076404.1	2522792	2525068	-	2277	1522	2102	1852
KJY95_RS12350	NZ_CP076404.1	2525357	2526304	+	948	236	279	289
KJY95_RS12355	NZ_CP076404.1	2526327	2528327	+	2001	438	467	399
KJY95_RS12360	NZ_CP076404.1	2528428	2529468	-	1041	475	453	419
KJY95_RS12365	NZ_CP076404.1	2529597	2530169	-	573	338	384	364
KJY95_RS12370	NZ_CP076404.1	2530240	2532216	-	1977	1134	1595	1165
KJY95_RS12375	NZ_CP076404.1	2532422	2534119	+	1698	1388	1553	1278
KJY95_RS12380	NZ_CP076404.1	2534286	2537396	+	3111	1299	1360	1081
KJY95_RS12385	NZ_CP076404.1	2537501	2537557	-	57	194	295	419
KJY95_RS12390	NZ_CP076404.1	2537938	2538291	+	354	884	1118	994
KJY95_RS12395	NZ_CP076404.1	2538298	2539422	+	1125	2560	2819	2127
KJY95_RS12400	NZ_CP076404.1	2539453	2539650	+	198	540	555	379
KJY95_RS12405	NZ_CP076404.1	2539766	2540461	-	696	741	703	524
KJY95_RS12410	NZ_CP076404.1	2540538	2542550	-	2013	1318	1166	1016
KJY95_RS12415	NZ_CP076404.1	2542568	2543428	-	861	1247	1243	974
KJY95_RS12420	NZ_CP076404.1	2543599	2544309	-	711	1560	1253	835
KJY95_RS12425	NZ_CP076404.1	2544525	2545556	-	1032	7049	7405	5293
KJY95_RS12430	NZ_CP076404.1	2545576	2546451	-	876	7258	7844	6280
KJY95_RS12435	NZ_CP076404.1	2546597	2547166	+	570	918	967	983
KJY95_RS12440	NZ_CP076404.1	2547169	2547636	+	468	1881	2046	2241
KJY95_RS12445	NZ_CP076404.1	2547892	2548506	+	615	49	69	70
KJY95_RS12450	NZ_CP076404.1	2548509	2550524	+	2016	321	276	299
KJY95_RS12455	NZ_CP076404.1	2550538	2551482	+	945	51	59	47
KJY95_RS12460	NZ_CP076404.1	2551502	2552938	+	1437	180	161	135
KJY95_RS12465	NZ_CP076404.1	2552953	2553600	+	648	86	73	75
KJY95_RS12470	NZ_CP076404.1	2553608	2555185	+	1578	361	328	246
KJY95_RS12475	NZ_CP076404.1	2555178	2556842	+	1665	376	312	310
KJY95_RS12480	NZ_CP076404.1	2556855	2557397	+	543	73	57	61
KJY95_RS12485	NZ_CP076404.1	2557397	2558152	+	756	74	52	42
KJY95_RS12490	NZ_CP076404.1	2558148	2558558	+	411	55	33	44
KJY95_RS12495	NZ_CP076404.1	2558591	2560600	+	2010	401	468	392
KJY95_RS12500	NZ_CP076404.1	2560625	2561470	+	846	701	702	492
KJY95_RS12505	NZ_CP076404.1	2561514	2562572	-	1059	1912	2113	1464
KJY95_RS12510	NZ_CP076404.1	2562785	2564245	+	1461	1246	1349	1049
KJY95_RS12515	NZ_CP076404.1	2564269	2564625	+	357	585	638	412
KJY95_RS12520	NZ_CP076404.1	2564769	2565467	-	699	1965	2114	1562
KJY95_RS12525	NZ_CP076404.1	2565565	2566851	-	1287	960	1120	821
KJY95_RS12530	NZ_CP076404.1	2566940	2567563	-	624	2846	3145	2287
KJY95_RS12535	NZ_CP076404.1	2567888	2568922	+	1035	3288	2470	1549
KJY95_RS12540	NZ_CP076404.1	2568925	2569560	+	636	1595	1337	872
KJY95_RS12545	NZ_CP076404.1	2569735	2571798	+	2064	2079	2351	2318
KJY95_RS12550	NZ_CP076404.1	2571806	2573344	+	1539	797	830	668
KJY95_RS12555	NZ_CP076404.1	2573389	2575629	-	2241	796	865	702
KJY95_RS12560	NZ_CP076404.1	2575814	2575963	-	150	23	22	17
KJY95_RS12565	NZ_CP076404.1	2575981	2576169	+	189	790	986	947
KJY95_RS12570	NZ_CP076404.1	2576483	2576998	+	516	284	332	222
KJY95_RS12575	NZ_CP076404.1	2577017	2577553	+	537	361	348	285
KJY95_RS12580	NZ_CP076404.1	2577652	2579226	-	1575	12402	13351	10706
KJY95_RS12585	NZ_CP076404.1	2579298	2580761	-	1464	19385	18248	14035
KJY95_RS12590	NZ_CP076404.1	2580923	2582290	+	1368	6631	7183	6037
KJY95_RS12595	NZ_CP076404.1	2582293	2582505	-	213	557	666	490
KJY95_RS12600	NZ_CP076404.1	2582578	2584047	-	1470	5960	6794	5235
KJY95_RS12605	NZ_CP076404.1	2584168	2585343	-	1176	4813	5769	3916
KJY95_RS12610	NZ_CP076404.1	2585357	2585974	-	618	2171	2601	1842
KJY95_RS12615	NZ_CP076404.1	2585995	2587266	-	1272	6424	7252	5822
KJY95_RS12620	NZ_CP076404.1	2587380	2588495	-	1116	3874	4499	3545
KJY95_RS12625	NZ_CP076404.1	2588525	2589535	-	1011	6978	6971	5791
KJY95_RS12630	NZ_CP076404.1	2589823	2590974	-	1152	8349	8391	6867
KJY95_RS12635	NZ_CP076404.1	2591127	2591555	-	429	5687	6071	6252
KJY95_RS12640	NZ_CP076404.1	2591707	2594016	-	2310	758	713	502
KJY95_RS12645	NZ_CP076404.1	2594020	2598978	-	4959	3707	4030	3183
KJY95_RS12650	NZ_CP076404.1	2599185	2600027	+	843	1669	1908	1489
KJY95_RS22220	NZ_CP076404.1	2600692	2600814	+	123	1189	1183	1078
KJY95_RS12655	NZ_CP076404.1	2600851	2601624	-	774	655	723	508
KJY95_RS12660	NZ_CP076404.1	2601769	2603049	-	1281	1749	2024	1450
KJY95_RS12665	NZ_CP076404.1	2603230	2603427	-	198	556	594	526
KJY95_RS12670	NZ_CP076404.1	2603442	2603774	-	333	844	907	720
KJY95_RS12675	NZ_CP076404.1	2603779	2605626	-	1848	4465	4592	3289
KJY95_RS12680	NZ_CP076404.1	2605646	2606158	-	513	1370	1362	1002
KJY95_RS12685	NZ_CP076404.1	2606257	2606577	-	321	2215	2507	1787
KJY95_RS12690	NZ_CP076404.1	2606597	2606980	-	384	2553	2621	2033
KJY95_RS12695	NZ_CP076404.1	2607011	2608222	-	1212	7780	8472	6033
KJY95_RS12700	NZ_CP076404.1	2608337	2608822	-	486	3145	3103	2180
KJY95_RS12705	NZ_CP076404.1	2609277	2610014	-	738	5824	6291	4901
KJY95_RS12710	NZ_CP076404.1	2610133	2610933	+	801	6969	6741	5198
KJY95_RS12715	NZ_CP076404.1	2611081	2611932	+	852	665	660	540
KJY95_RS12720	NZ_CP076404.1	2612126	2613403	+	1278	605	646	597
KJY95_RS12725	NZ_CP076404.1	2613401	2614537	-	1137	979	906	836
KJY95_RS12730	NZ_CP076404.1	2614700	2615587	-	888	205	291	419
KJY95_RS12735	NZ_CP076404.1	2615723	2617081	+	1359	559	563	483
KJY95_RS12740	NZ_CP076404.1	2617081	2617596	+	516	156	149	119
KJY95_RS12745	NZ_CP076404.1	2617599	2617916	+	318	70	53	54
KJY95_RS12750	NZ_CP076404.1	2617916	2618725	+	810	236	210	189
KJY95_RS12755	NZ_CP076404.1	2618738	2619937	+	1200	354	286	219
KJY95_RS12760	NZ_CP076404.1	2620037	2620456	+	420	145	130	133
KJY95_RS12765	NZ_CP076404.1	2620510	2621379	-	870	312	278	243
KJY95_RS12770	NZ_CP076404.1	2621394	2622485	-	1092	203	221	199
KJY95_RS12775	NZ_CP076404.1	2622521	2623516	-	996	150	156	107
KJY95_RS12780	NZ_CP076404.1	2623544	2625052	-	1509	331	309	340
KJY95_RS12785	NZ_CP076404.1	2625078	2626058	-	981	175	198	158
KJY95_RS12790	NZ_CP076404.1	2626158	2629436	-	3279	713	597	548
KJY95_RS12795	NZ_CP076404.1	2629554	2630744	+	1191	1061	1031	1062
KJY95_RS12800	NZ_CP076404.1	2630948	2632198	-	1251	7128	7068	5852
KJY95_RS12805	NZ_CP076404.1	2632526	2633713	+	1188	999	924	664
KJY95_RS12810	NZ_CP076404.1	2633764	2634099	-	336	1038	1138	1006
KJY95_RS12815	NZ_CP076404.1	2634163	2635494	-	1332	872	981	747
KJY95_RS12820	NZ_CP076404.1	2635487	2636197	-	711	1071	1055	724
KJY95_RS12825	NZ_CP076404.1	2636365	2637789	-	1425	2571	2571	1908
KJY95_RS12830	NZ_CP076404.1	2638350	2642234	-	3885	5385	4845	3346
KJY95_RS12835	NZ_CP076404.1	2642492	2644045	+	1554	4774	4802	4058
KJY95_RS12840	NZ_CP076404.1	2644048	2644548	-	501	1607	1617	1133
KJY95_RS12845	NZ_CP076404.1	2644609	2645241	-	633	984	1029	755
KJY95_RS12850	NZ_CP076404.1	2645450	2646295	+	846	1899	1750	1265
KJY95_RS12855	NZ_CP076404.1	2646354	2646611	+	258	1442	1554	1453
KJY95_RS12860	NZ_CP076404.1	2646811	2646888	-	78	471	444	396
KJY95_RS12865	NZ_CP076404.1	2647312	2647689	-	378	307	292	228
KJY95_RS12870	NZ_CP076404.1	2647692	2648420	-	729	932	964	795
KJY95_RS12875	NZ_CP076404.1	2648435	2649160	-	726	1383	1378	906
KJY95_RS12880	NZ_CP076404.1	2649175	2650077	-	903	5469	5960	4613
KJY95_RS12885	NZ_CP076404.1	2650077	2650754	-	678	4251	5280	4308
KJY95_RS12890	NZ_CP076404.1	2651029	2652000	-	972	3685	4134	3081
KJY95_RS12895	NZ_CP076404.1	2652019	2653815	-	1797	11329	12169	9411
KJY95_RS12900	NZ_CP076404.1	2654016	2654492	-	477	785	825	644
KJY95_RS12905	NZ_CP076404.1	2654492	2655445	-	954	2160	2402	2108
KJY95_RS12910	NZ_CP076404.1	2655448	2656095	-	648	3866	3847	3336
KJY95_RS12915	NZ_CP076404.1	2656131	2656703	-	573	2122	2405	1855
KJY95_RS12920	NZ_CP076404.1	2656703	2656855	-	153	334	378	353
KJY95_RS12925	NZ_CP076404.1	2657111	2658730	+	1620	981	1038	843
KJY95_RS12930	NZ_CP076404.1	2658721	2659455	-	735	1184	1250	945
KJY95_RS12935	NZ_CP076404.1	2659587	2660918	+	1332	4961	4610	3633
KJY95_RS12940	NZ_CP076404.1	2661133	2662011	-	879	1215	1031	729
KJY95_RS12945	NZ_CP076404.1	2662114	2662698	+	585	1371	845	417
KJY95_RS12950	NZ_CP076404.1	2662760	2663140	-	381	22885	22211	11642
KJY95_RS12955	NZ_CP076404.1	2663445	2664131	+	687	1985	1955	1596
KJY95_RS12960	NZ_CP076404.1	2664185	2665219	-	1035	6737	6754	4834
KJY95_RS12965	NZ_CP076404.1	2665426	2665842	+	417	1381	1208	1331
KJY95_RS12970	NZ_CP076404.1	2665914	2666609	+	696	1056	905	871
KJY95_RS12975	NZ_CP076404.1	2666644	2669301	+	2658	1893	1793	1557
KJY95_RS12985	NZ_CP076404.1	2669418	2670770	+	1353	6079	6929	5794
KJY95_RS12990	NZ_CP076404.1	2670819	2671139	+	321	1611	1623	1422
KJY95_RS12995	NZ_CP076404.1	2671142	2672437	-	1296	18818	19065	16518
KJY95_RS13020	NZ_CP076404.1	2678294	2680864	-	2571	5756	7114	6012
KJY95_RS13025	NZ_CP076404.1	2680997	2681725	-	729	1326	1493	1139
KJY95_RS13030	NZ_CP076404.1	2681725	2682702	-	978	3417	3618	3470
KJY95_RS13035	NZ_CP076404.1	2682837	2683571	+	735	4740	5558	5480
KJY95_RS13040	NZ_CP076404.1	2683845	2684183	+	339	2335	2950	4211
KJY95_RS13045	NZ_CP076404.1	2684290	2684334	+	45	309	485	688
KJY95_RS13050	NZ_CP076404.1	2684436	2685593	+	1158	3140	3408	3064
KJY95_RS13055	NZ_CP076404.1	2685642	2686760	-	1119	3001	3099	2209
KJY95_RS13060	NZ_CP076404.1	2686774	2687841	-	1068	5953	5602	4490
KJY95_RS13065	NZ_CP076404.1	2688051	2688413	+	363	318	372	262
KJY95_RS13070	NZ_CP076404.1	2688566	2689081	+	516	2874	3211	3029
KJY95_RS13075	NZ_CP076404.1	2689074	2690297	+	1224	2460	2661	1992
KJY95_RS13080	NZ_CP076404.1	2690316	2690795	+	480	2023	2155	1427
KJY95_RS13085	NZ_CP076404.1	2690877	2691221	-	345	33632	41566	30521
KJY95_RS13090	NZ_CP076404.1	2691266	2692030	-	765	75173	88571	65980
KJY95_RS13095	NZ_CP076404.1	2692064	2692609	-	546	58096	67970	48053
KJY95_RS13100	NZ_CP076404.1	2692631	2692876	-	246	28129	32169	23753
KJY95_RS13105	NZ_CP076404.1	2693128	2694486	-	1359	11354	12548	8881
KJY95_RS13110	NZ_CP076404.1	2694653	2695441	+	789	1019	1195	985
KJY95_RS13115	NZ_CP076404.1	2695465	2696748	+	1284	1084	1212	1157
KJY95_RS13120	NZ_CP076404.1	2696809	2697399	-	591	2172	2593	2584
KJY95_RS13125	NZ_CP076404.1	2697522	2698397	+	876	1196	966	1057
KJY95_RS13130	NZ_CP076404.1	2698486	2700144	+	1659	7950	6520	6374
KJY95_RS13135	NZ_CP076404.1	2700296	2700634	+	339	3412	3544	3511
KJY95_RS13140	NZ_CP076404.1	2700702	2700989	-	288	561	570	576
KJY95_RS13145	NZ_CP076404.1	2700982	2701416	-	435	1107	1286	1152
KJY95_RS13150	NZ_CP076404.1	2701587	2702066	+	480	1587	1824	1673
KJY95_RS13160	NZ_CP076404.1	2702850	2704088	+	1239	1127	1264	1162
KJY95_RS13165	NZ_CP076404.1	2704338	2705291	-	954	526	680	656
KJY95_RS13170	NZ_CP076404.1	2705335	2705544	+	210	37	45	46
KJY95_RS13175	NZ_CP076404.1	2705676	2707082	+	1407	150	181	211
KJY95_RS13180	NZ_CP076404.1	2707238	2707861	+	624	189	225	193
KJY95_RS13185	NZ_CP076404.1	2708045	2710231	-	2187	1650	1760	1487
KJY95_RS13190	NZ_CP076404.1	2710231	2711844	-	1614	1443	1603	1534
KJY95_RS13195	NZ_CP076404.1	2712207	2712467	-	261	196	184	175
KJY95_RS13200	NZ_CP076404.1	2712609	2713679	+	1071	5800	6829	6561
KJY95_RS13205	NZ_CP076404.1	2713675	2714043	+	369	1819	2241	1787
KJY95_RS13210	NZ_CP076404.1	2714401	2715261	+	861	222	232	215
KJY95_RS13215	NZ_CP076404.1	2715356	2716174	+	819	108	67	116
KJY95_RS13220	NZ_CP076404.1	2716394	2717092	+	699	159	142	147
KJY95_RS13225	NZ_CP076404.1	2717136	2717369	+	234	23	34	17
KJY95_RS13230	NZ_CP076404.1	2717372	2717812	+	441	77	83	56
KJY95_RS13235	NZ_CP076404.1	2717839	2718303	+	465	212	142	182
KJY95_RS13240	NZ_CP076404.1	2718696	2718845	-	150	72	94	87
KJY95_RS13245	NZ_CP076404.1	2718861	2719873	-	1013	817	890	684
KJY95_RS13250	NZ_CP076404.1	2720009	2721709	+	1701	123	209	214
KJY95_RS13255	NZ_CP076404.1	2722347	2722504	+	158	56	75	44
KJY95_RS13260	NZ_CP076404.1	2722610	2723065	+	456	108	82	74
KJY95_RS13265	NZ_CP076404.1	2723077	2723556	+	480	82	49	58
KJY95_RS13270	NZ_CP076404.1	2723568	2723765	+	198	26	12	33
KJY95_RS13275	NZ_CP076404.1	2723806	2724120	+	315	39	43	46
KJY95_RS13280	NZ_CP076404.1	2724144	2724470	+	327	21	26	30
KJY95_RS13285	NZ_CP076404.1	2724840	2729417	-	4578	1353	1410	1120
KJY95_RS13290	NZ_CP076404.1	2729485	2729601	-	117	46	33	49
KJY95_RS13295	NZ_CP076404.1	2729828	2729992	-	165	166	136	112
KJY95_RS13300	NZ_CP076404.1	2730332	2731702	-	1371	245	230	260
KJY95_RS13310	NZ_CP076404.1	2733088	2735337	+	2250	277	337	385
KJY95_RS13315	NZ_CP076404.1	2735676	2736650	+	975	159	141	123
KJY95_RS13320	NZ_CP076404.1	2736673	2737938	+	1266	139	178	143
KJY95_RS13325	NZ_CP076404.1	2737964	2739409	+	1446	236	186	207
KJY95_RS13330	NZ_CP076404.1	2739426	2740703	+	1278	295	272	215
KJY95_RS13335	NZ_CP076404.1	2740944	2742341	+	1398	225	205	166
KJY95_RS13340	NZ_CP076404.1	2742365	2743024	+	660	565	556	401
KJY95_RS13345	NZ_CP076404.1	2743031	2743477	-	447	392	456	371
KJY95_RS13350	NZ_CP076404.1	2743564	2743719	-	156	139	181	133
KJY95_RS13355	NZ_CP076404.1	2743902	2744198	+	297	342	294	258
KJY95_RS13360	NZ_CP076404.1	2744211	2744732	+	522	596	510	366
KJY95_RS13365	NZ_CP076404.1	2744785	2745186	-	402	849	785	540
KJY95_RS13370	NZ_CP076404.1	2745855	2746301	+	447	340	378	376
KJY95_RS13375	NZ_CP076404.1	2746344	2746685	-	342	218	283	241
KJY95_RS13380	NZ_CP076404.1	2746837	2747163	+	327	121	167	121
KJY95_RS13385	NZ_CP076404.1	2747414	2747656	+	243	22	15	27
KJY95_RS13390	NZ_CP076404.1	2747656	2748063	+	408	50	62	36
KJY95_RS13395	NZ_CP076404.1	2748039	2750180	+	2142	513	449	374
KJY95_RS13400	NZ_CP076404.1	2750193	2751149	+	957	220	209	238
KJY95_RS13405	NZ_CP076404.1	2751506	2752705	+	1200	41596	36730	30009
KJY95_RS13410	NZ_CP076404.1	2752701	2753762	+	1062	20463	13939	9489
KJY95_RS13415	NZ_CP076404.1	2753823	2754812	+	990	5318	3416	2465
KJY95_RS13420	NZ_CP076404.1	2755007	2756181	+	1175	869	625	553
KJY95_RS13425	NZ_CP076404.1	2756308	2757042	+	735	2508	2310	1663
KJY95_RS13430	NZ_CP076404.1	2757035	2757367	+	333	446	417	313
KJY95_RS13435	NZ_CP076404.1	2757461	2757988	+	528	9782	12408	10118
KJY95_RS13440	NZ_CP076404.1	2758118	2759287	+	1170	7429	8330	6243
KJY95_RS13445	NZ_CP076404.1	2759307	2760842	+	1536	4110	4251	2829
KJY95_RS13450	NZ_CP076404.1	2760912	2761424	-	513	1509	1714	1608
KJY95_RS13455	NZ_CP076404.1	2761577	2763130	-	1554	7520	8802	7025
KJY95_RS13460	NZ_CP076404.1	2763206	2763631	-	426	1917	2594	1664
KJY95_RS13465	NZ_CP076404.1	2763631	2764194	-	564	4398	5182	3614
KJY95_RS13495	NZ_CP076404.1	2765655	2765837	-	183	3853	4440	4222
KJY95_RS13500	NZ_CP076404.1	2766075	2768702	-	2628	19498	22158	16006
KJY95_RS13505	NZ_CP076404.1	2768833	2769330	-	498	2502	2123	1728
KJY95_RS13510	NZ_CP076404.1	2769402	2770460	-	1059	42181	39733	34530
KJY95_RS13515	NZ_CP076404.1	2770543	2771037	-	495	573	714	469
KJY95_RS13520	NZ_CP076404.1	2771185	2772267	-	1083	648	634	524
KJY95_RS13525	NZ_CP076404.1	2772523	2773083	+	561	63	63	75
KJY95_RS13530	NZ_CP076404.1	2773083	2774039	+	957	111	121	184
KJY95_RS13535	NZ_CP076404.1	2774053	2774421	+	369	22	16	22
KJY95_RS13540	NZ_CP076404.1	2774428	2775204	+	777	155	143	173
KJY95_RS13545	NZ_CP076404.1	2775312	2775668	+	357	114	133	107
KJY95_RS13550	NZ_CP076404.1	2775738	2776508	+	771	559	763	624
KJY95_RS13555	NZ_CP076404.1	2776504	2777466	+	963	614	713	578
KJY95_RS13560	NZ_CP076404.1	2777469	2778980	-	1512	632	553	432
KJY95_RS13565	NZ_CP076404.1	2779167	2780603	+	1437	423	335	305
KJY95_RS13570	NZ_CP076404.1	2780603	2781733	+	1131	224	248	226
KJY95_RS13575	NZ_CP076404.1	2781867	2784116	-	2250	784	918	707
KJY95_RS13580	NZ_CP076404.1	2784272	2784796	-	525	156	197	135
KJY95_RS13585	NZ_CP076404.1	2784948	2785955	-	1008	356	501	400
KJY95_RS13590	NZ_CP076404.1	2786215	2787669	+	1455	554	612	451
KJY95_RS13595	NZ_CP076404.1	2787681	2789102	+	1422	467	397	371
KJY95_RS13600	NZ_CP076404.1	2789267	2789734	-	468	319	261	240
KJY95_RS13605	NZ_CP076404.1	2789730	2790137	-	408	85	78	53
KJY95_RS13610	NZ_CP076404.1	2790137	2790901	-	765	95	92	74
KJY95_RS13615	NZ_CP076404.1	2790904	2791443	-	540	54	59	47
KJY95_RS13620	NZ_CP076404.1	2791456	2793162	-	1707	212	202	188
KJY95_RS13625	NZ_CP076404.1	2793183	2794103	-	921	75	70	73
KJY95_RS13630	NZ_CP076404.1	2794109	2795932	-	1824	160	174	138
KJY95_RS13635	NZ_CP076404.1	2795932	2796540	-	609	52	75	49
KJY95_RS13640	NZ_CP076404.1	2796668	2797126	-	459	50	61	26
KJY95_RS13645	NZ_CP076404.1	2797338	2797685	+	348	83	149	123
KJY95_RS13650	NZ_CP076404.1	2797692	2798561	+	870	518	927	680
KJY95_RS13655	NZ_CP076404.1	2798555	2798824	+	270	64	129	107
KJY95_RS13660	NZ_CP076404.1	2798827	2799945	+	1119	567	929	753
KJY95_RS13665	NZ_CP076404.1	2799945	2800952	+	1008	580	825	640
KJY95_RS13670	NZ_CP076404.1	2801029	2803104	+	2076	523	676	685
KJY95_RS13675	NZ_CP076404.1	2803147	2803497	-	351	86	90	108
KJY95_RS13680	NZ_CP076404.1	2803577	2803708	-	132	24	8	42
KJY95_RS13685	NZ_CP076404.1	2803784	2806342	+	2559	2862	3399	2518
KJY95_RS13690	NZ_CP076404.1	2806451	2807104	+	654	176	205	207
